11-beta-hydroxylase deficiency							
12q14 microdeletion syndrome							
15q11.2 microdeletion							
3q29 microdeletion syndrome	3q29 microdeletion syndrome	3q29 microdeletion syndrome	Orphanet_65286				
"46,XX testicular disorder of sex development"							
47 XXX syndrome							
"47, XYY syndrome"							
"48,XXXY syndrome"							
"48,XYYY"							
"49, XXXXY syndrome"							
"49, XXXYY syndrome"							
"49,XXXXX syndrome"							
5-alpha reductase deficiency							
5-oxoprolinase deficiency	5-oxoprolinase deficiency	5-oxoprolinase deficiency	Orphanet_33572				
5q- syndrome							
5q14.3 microdeletion syndrome							
6-pyruvoyl-tetrahydropterin synthase deficiency	6-pyruvoyl-tetrahydropterin synthase deficiency	6-pyruvoyl-tetrahydropterin synthase deficiency	Orphanet_13				
7q11.23 duplication syndrome							
8p23.1 duplication syndrome							
8q12 microduplication syndrome							
Aagenaes syndrome							
Aarskog syndrome	Aarskog syndrome	Aarskog-Scott syndrome	Orphanet_915				
Abdominal aortic aneurysm	Abdominal aortic aneurysm	Abdominal Aortic Aneurysm	EFO_0004214				
Abdominal chemodectomas with cutaneous angiolipomas							
Abdominal obesity metabolic syndrome							
Aberrant subclavian artery							
Abetalipoproteinemia	Abetalipoproteinemia	Abetalipoproteinemia	Orphanet_14				
Ablepharon macrostomia syndrome	Ablepharon macrostomia syndrome	Ablepharon macrostomia syndrome	Orphanet_920				
Abruzzo-Erickson syndrome	Abruzzo-Erickson syndrome	Abruzzo-Erickson syndrome	Orphanet_921				
Absence of fingerprints congenital milia							
Absence of gluteal muscle							
Absence of septum pellucidum							
Absence of Tibia							
Absence of tibia with polydactyly							
Absent breasts and nipples							
Absent patella							
Acalvaria							
Acanthamoeba keratitis							
Acanthocheilonemiasis							
Acanthosis nigricans 							
Acanthosis nigricans - Not a rare disease							
Acanthosis nigricans muscle cramps acral enlargement							
Acardia							
Acatalasemia	Acatalasemia	Acatalasemia	Orphanet_926				
Accessory deep peroneal nerve							
Accessory navicular bone 							
Accessory pancreas							
Aceruloplasminemia							
Acetyl CoA acetyltransferase 2 deficiency							
Acetyl-carnitine deficiency							
Achalasia microcephaly syndrome							
Achard syndrome							
Achard Thiers syndrome							
Acheiropody	Acheiropody	Acheiropodia	Orphanet_931				
Achondrogenesis							
Achondrogenesis type 1A - See Achondrogenesis							
Achondrogenesis type 1B - See Achondrogenesis							
Achondrogenesis type 2 - See Achondrogenesis							
Achondroplasia	Achondroplasia	Achondroplasia	Orphanet_15				
Achromatopsia 2	Achromatopsia 2	Achromatopsia	Orphanet_49382				
Achromatopsia 3	Achromatopsia 3	Achromatopsia	Orphanet_49382				
Acinic cell carcinoma							
Acitretin embryopathy							
Acquired generalized lipodystrophy							
Acral dysostosis dyserythropoiesis syndrome							
Acral lentiginous melanoma							
Acral peeling skin syndrome							
Acro-pectoro-renal field defect							
"Acrocallosal syndrome, Schinzel type"	"Acrocallosal syndrome, Schinzel type"	Acrocallosal syndrome	Orphanet_36				
Acrocapitofemoral dysplasia	Acrocapitofemoral dysplasia	Acrocapitofemoral dysplasia	Orphanet_63446				
Acrocephalopolydactyly							
Acrodermatitis							
Acrodermatitis enteropathica							
Acrodysostosis							
Acrodysplasia scoliosis							
"Acrodysplasia with ossification abnormalities, short stature and fibular hypoplasia"							
Acrofacial dysostosis Catania type							
Acrofacial dysostosis Palagonia type							
Acrofacial dysostosis Rodriguez type							
Acrofrontofacionasal dysostosis syndrome							
"Acrogeria, Gottron type"							
Acrokeratoelastoidosis of Costa							
Acromegaloid facial appearance syndrome							
"Acromegaloid features, overgrowth, cleft palate and hernia"							
Acromegaloid hypertrichosis syndrome							
Acromegaly	Acromegaly	acromegaly	EFO_1001485				
Acromelic frontonasal dysostosis	Acromelic frontonasal dysostosis	Acromelic frontonasal dysplasia	Orphanet_1827				
Acromesomelic dysplasia							
Acromesomelic dysplasia Campailla Martinelli type							
Acromesomelic dysplasia Hunter Thompson type	Acromesomelic dysplasia Hunter Thompson type	"Acromesomelic dysplasia, Hunter-Thompson type"	Orphanet_968				
Acromesomelic dysplasia Maroteaux type	Acromesomelic dysplasia Maroteaux type	"Acromesomelic dysplasia, Maroteaux type"	Orphanet_40				
Acromicric dysplasia	Acromicric dysplasia	Acromicric dysplasia	Orphanet_969				
Acroosteolysis dominant type							
Acropectoral syndrome							
Acropectorovertebral dysplasia F form							
Acrorenal mandibular syndrome							
Acrospiroma							
ACTH-independent macronodular adrenal hyperplasia							
ACTH-secreting pituitary adenoma							
Actinic lichen planus							
Acute cholinergic dysautonomia							
Acute disseminated encephalomyelitis							
Acute erythroid leukemia	Acute erythroid leukemia	acute erythroleukemia	EFO_0000218				
Acute fatty liver of pregnancy							
Acute febrile neutrophilic dermatosis							
Acute graft versus host disease	Acute graft versus host disease	acute graft vs. host disease	EFO_0004599				
Acute intermittent porphyria	Acute intermittent porphyria	Acute intermittent porphyria	Orphanet_79276				
Acute interstitial pneumonia							
Acute leukemia of ambiguous lineage	Acute leukemia of ambiguous lineage	acute leukemia of ambiguous lineage	MONDO_0019460				
Acute lymphoblastic leukemia							
Acute lymphoblastic leukemia congenital sporadic aniridia							
Acute megakaryoblastic leukemia	Acute megakaryoblastic leukemia	acute megakaryoblastic leukaemia	EFO_0003025				
Acute monoblastic leukemia							
Acute myeloblastic leukemia with maturation							
Acute myeloblastic leukemia without maturation							
Acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22)							
Acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2)							
Acute myelomonocytic leukemia	Acute myelomonocytic leukemia	acute myelomonocytic leukemia	EFO_0000223				
Acute necrotizing ulcerative gingivitis							
Acute non lymphoblastic leukemia							
Acute panmyelosis with myelofibrosis							
Acute posterior multifocal placoid pigment epitheliopathy							
Acute promyelocytic leukemia	Acute promyelocytic leukemia	acute promyelocytic leukemia	EFO_0000224				
Acute zonal occult outer retinopathy							
Adactylia unilateral							
Adams-Oliver syndrome	Adams-Oliver syndrome	Adams-Oliver syndrome	Orphanet_974				
ADCY5-related dyskinesia							
Addison's disease							
Adenine phosphoribosyltransferase deficiency	Adenine phosphoribosyltransferase deficiency	Adenine phosphoribosyltransferase deficiency	Orphanet_976				
Adenocarcinoid tumor							
Adenocarcinoma of the appendix							
Adenoid cystic carcinoma	Adenoid cystic carcinoma	adenoid cystic carcinoma	EFO_0000231				
Adenosarcoma of the uterus							
Adenosine Deaminase 2 deficiency							
Adenosine deaminase deficiency							
Adenosine monophosphate deaminase 1 deficiency							
Adenylosuccinase deficiency							
Adermatoglyphia	Adermatoglyphia	Adermatoglyphia	HP_0007455				
Adie syndrome							
Adiposis dolorosa							
Adrenal cancer							
Adrenal medulla cancer							
Adrenocortical carcinoma	Adrenocortical carcinoma	adrenal cortex carcinoma	EFO_1000796				
Adrenomyeloneuropathy							
Adrenomyodystrophy							
Adult polyglucosan body disease							
ADULT syndrome	ADULT syndrome	ADULT syndrome	Orphanet_978				
Adult T-cell leukemia/lymphoma							
Adult-onset citrullinemia type II							
Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies							
Adult-onset nemaline myopathy							
Adult-onset Still's disease							
Adult-onset vitelliform macular dystrophy							
"Advanced sleep phase syndrome, familial"							
Afibrinogenemia	Afibrinogenemia	Immunodeficiency with factor I anomaly	Orphanet_200418				
"Agammaglobulinemia, microcephaly, and severe dermatitis"	"Agammaglobulinemia, non-Bruton type"	Autosomal agammaglobulinemia	Orphanet_33110				
"Agammaglobulinemia, non-Bruton type"							
Agenesis of the dorsal pancreas							
Aggressive NK cell leukemia							
Agnathia-microstomia-synotia							
Agnosia							
Ahumada Del Castillo syndrome							
Aicardi syndrome							
Aicardi-Goutieres syndrome	Aicardi-Goutieres syndrome	Aicardi-GoutiËres syndrome	Orphanet_51				
AIDS Dementia Complex							
Ainhum							
Akesson syndrome							
Al Gazali Aziz Salem syndrome							
Al Gazali Khidr Prem Chandran syndrome							
Al Gazali Sabrinathan Nair syndrome							
Al Gazali syndrome							
Al-Gazali-Donnai-Mueller syndrome							
Alagille syndrome	Alagille syndrome	Alagille syndrome	Orphanet_52				Orphanet_974
Aland island eye disease							Orphanet_976
"Alaninuria with microcephaly, dwarfism, enamel hypoplasia and diabetes mellitus"							EFO_0000231
Albinism	Albinism	Piebaldism	Orphanet_2884				HP_0007455
Albinism deafness syndrome							EFO_1000796
Albinism ocular late onset sensorineural deafness							Orphanet_978
Albright's hereditary osteodystrophy							Orphanet_200418
Alexander disease	Alexander disease	Alexander disease	Orphanet_58				Orphanet_33110
ALG1-CDG (CDG-Ik)							Orphanet_51
ALG11-CDG (CDG-Ip)							Orphanet_52
ALG12-CDG (CDG-Ig)							Orphanet_2884
ALG13-CDG							Orphanet_58
ALG2-CDG (CDG-Ii)							Orphanet_56
ALG3-CDG (CDG-Id)							Orphanet_59
ALG6-CDG (CDG-Ic)							Orphanet_60
ALG8-CDG (CDG-Ih)							Orphanet_63
ALG9-CDG (CDG-IL)							Orphanet_2131
Alkaptonuria	Alkaptonuria	Alkaptonuria	Orphanet_56				EFO_0007143
Allain-Babin-Demarquez syndrome							Orphanet_100031
Allan-Herndon-Dudley syndrome	Allan-Herndon-Dudley syndrome	Allan-Herndon-Dudley syndrome	Orphanet_59				EFO_1001981
Allergic bronchopulmonary aspergillosis							Orphanet_99742
Alopecia areata - Not a rare disease							Orphanet_85450
Alopecia epilepsy oligophrenia syndrome of Moynahan							EFO_0000253
Alopecia intellectual disability syndrome 2							EFO_0002499
Alopecia totalis							MONDO_0016700
Alopecia universalis							EFO_0003032
Alopecia universalis onychodystrophy vitiligo							EFO_0002500
Alopecia-contractures-dwarfism-intellectual disability syndrome							EFO_0002501
Alopecia-intellectual disability syndrome							Orphanet_93347
"Alopecia, epilepsy, pyorrhea, mental subnormality"							Orphanet_1496
Alpers syndrome							Orphanet_37553
Alpha-1 antitrypsin deficiency	Alpha-1 antitrypsin deficiency	Alpha-1-antitrypsin deficiency	Orphanet_60				Orphanet_2802
Alpha-ketoglutarate dehydrogenase deficiency							Orphanet_72
Alpha-mannosidosis							EFO_0000255
Alpha-thalassemia x-linked intellectual disability syndrome							Orphanet_250923
Alport syndrome	Alport syndrome	Alport syndrome	Orphanet_63				Orphanet_1106
Alström syndrome							Orphanet_88632
Alternating hemiplegia of childhood	Alternating hemiplegia of childhood	Alternating hemiplegia of childhood	Orphanet_2131				EFO_1001267
Alveolar capillary dysplasia							Orphanet_946
Alveolar soft part sarcoma	Alveolar soft part sarcoma	alveolar soft part sarcoma	EFO_0007143				Orphanet_1114
"Alzheimer disease type 4 - See Early-onset, autosomal dominant Alzheimer disease"							Orphanet_320
Alzheimer's disease without neurofibrillary tangles							Orphanet_90
Amaurosis congenita cone-rod type with congenital hypertrichosis							"Orphanet_1135, Orphanet_2250"
Ambras syndrome							Orphanet_91
Amebiasis							Orphanet_35708
Ameloblastic carcinoma							Orphanet_247
Amelogenesis imperfecta	Amelogenesis imperfecta	Hypoplastic amelogenesis imperfecta	Orphanet_100031				Orphanet_51608
Amelogenesis imperfecta hypoplastic/hypomaturation X-linked 1							Orphanet_3342
Amelogenesis imperfecta local hypoplastic							Orphanet_109007
Amelogenesis imperfecta nephrocalcinosis							Orphanet_1143
Ameloonychohypohidrotic syndrome							Orphanet_1145
"Amino aciduria with mental deficiency, dwarfism, muscular dystrophy, osteoporosis and acidosis"							Orphanet_2697
Aminoacylase 1 deficiency	Aminoacylase 1 deficiency	Aminoacylase 1 deficiency	EFO_1001981				Orphanet_1187
Aminolevulinate dehydratase deficiency porphyria							EFO_0007153
Amish lethal microcephaly	Amish lethal microcephaly	Amish lethal microcephaly	Orphanet_99742				EFO_0007157
Amish Nemaline Myopathy							Orphanet_100
AML with myelodysplasia-related features							Orphanet_96
Amniotic band syndrome							Orphanet_1190
Amyloid neuropathy							Orphanet_56304
Amyloidosis AA							Orphanet_56305
Amyloidosis corneal							Orphanet_69739
Amyloidosis familial visceral	Amyloidosis familial visceral	Hereditary amyloidosis with primary renal involvement	Orphanet_85450				Orphanet_1195
Amyloidosis of gingiva and conjunctiva with intellectual disability							Orphanet_615
Amyopathic dermatomyositis							Orphanet_3095
Amyotonia congenita							Orphanet_3261
Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	amyotrophic lateral sclerosis	EFO_0000253				Orphanet_98784
Amyotrophic lateral sclerosis type 6 - See Amyotrophic lateral sclerosis							Orphanet_1215
Amyotrophic lateral sclerosis-parkinsonism/dementia complex 1							EFO_1001496
"Amyotrophy, neurogenic scapuloperoneal, New England type"							Orphanet_324442
Anal cancer							Orphanet_169186
Anal sphincter dysplasia							Orphanet_731
Anaplastic astrocytoma	Anaplastic astrocytoma	anaplastic astrocytoma	EFO_0002499				Orphanet_168549
Anaplastic ependymoma	Anaplastic ependymoma	anaplastic ependymoma	MONDO_0016700				EFO_1000102
Anaplastic ganglioglioma							EFO_0000096
Anaplastic large cell lymphoma	Anaplastic large cell lymphoma	anaplastic large cell lymphoma	EFO_0003032				Orphanet_1225
Anaplastic oligoastrocytoma	Anaplastic oligoastrocytoma	anaplastic oligoastrocytoma	EFO_0002500				Orphanet_1226
Anaplastic oligodendroglioma	Anaplastic oligodendroglioma	anaplastic oligodendroglioma	EFO_0002501				Orphanet_109
Anaplastic plasmacytoma							Orphanet_2995
Anaplastic small cell lymphoma							Orphanet_2237
Anaplastic thyroid cancer							Orphanet_1231
Anauxetic dysplasia	Anauxetic dysplasia	Anauxetic dysplasia	Orphanet_93347				Orphanet_110
Ancylostomiasis							Orphanet_118975
Andermann syndrome	Andermann syndrome	Corpus callosum agenesis-neuronopathy syndrome	Orphanet_1496				Orphanet_118978
Andersen-Tawil syndrome	Andersen-Tawil syndrome	Andersen-Tawil syndrome	Orphanet_111				"615988, C1859569, Orphanet_110"
Androgen insensitivity syndrome							Orphanet_137646
"Androgen insensitivity syndrome, mild"							Orphanet_110
Anemia due to Adenosine triphosphatase deficiency							Orphanet_110
Anemia sideroblastic and spinocerebellar ataxia	Anemia sideroblastic and spinocerebellar ataxia	X-linked sideroblastic anemia and spinocerebellar ataxia	Orphanet_93605				Orphanet_118985
Anencephaly							Orphanet_572
Aneurysm of sinus of Valsalva							
Angel shaped phalangoepiphyseal dysplasia							
Angelman syndrome	Angelman syndrome	Angelman syndrome	Orphanet_112				
Angioimmunoblastic T-cell lymphoma	Angioimmunoblastic T-cell lymphoma	angioimmunoblastic T-cell lymphoma	EFO_0004193				
Angioma hereditary neurocutaneous							
Angioma serpiginosum							
Angiosarcoma of the breast							
Angiosarcoma of the liver							
Angiosarcoma of the scalp							
Angiostrongyliasis							
Aniridia	Aniridia	Isolated aniridia	Orphanet_1555				
Aniridia - ptosis - intellectual disability - familial obesity							
Aniridia absent patella							
Aniridia renal agenesis psychomotor retardation							
Anisakiasis							
Ankyloblepharon filiforme adnatum cleft palate							
Ankyloblepharon filiforme imperforate anus							
Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome							
Ankylosing spondylitis - Not a rare disease							
Ankylosing vertebral hyperostosis with tylosis							
Ankylosis of teeth							
Annular atrophic lichen planus							
Annular lichen planus							
Annular pancreas							
Anodontia							
Anomalous origin of right pulmonary artery familial							
Anonychia ectrodactyly							
Anonychia-onychodystrophy with brachydactyly type B and ectrodactyly							
Anonychia-onychodystrophy with hypoplasia or absence of distal phalanges							
Anophthalmia plus syndrome							
Anophthalmos with limb anomalies	Anophthalmos with limb anomalies	Microphthalmia with limb anomalies	Orphanet_98895				
Anorchia							
Antecubital pterygium							
Anterior ischemic optic neuropathy							
Anterior segment dysgenesis	Anterior segment dysgenesis	Anterior segment developmental anomaly	Orphanet_116				
Anterior uveitis							
Antisynthetase syndrome							
Antley Bixler syndrome							
Aortic arch anomaly - peculiar facies - intellectual disability							
Aortic coarctation	Aortic coarctation	Aortic Coarctation	Orphanet_140927				
Aortopulmonary window							
Apert syndrome	Apert syndrome	Acrocephalosyndactyly	Orphanet_1429				
Aphalangia partial with syndactyly and duplication of metatarsal IV							
Aplasia cutis congenita	Aplasia cutis congenita	Aplasia cutis congenita	Orphanet_65682				
Aplasia cutis congenita intestinal lymphangiectasia							
Aplasia cutis congenita of limbs recessive							
Apparent mineralocorticoid excess	Apparent mineralocorticoid excess	Apparent mineralocorticoid excess	Orphanet_65682				
Apraxia							
Arachnodactyly - intellectual disability - dysmorphism							
Arachnoid cysts							
Arachnoiditis							
AREDYLD							
Arginase deficiency	Arginase deficiency	Argininemia	Orphanet_848				
Argininosuccinic aciduria							
Arhinia choanal atresia microphthalmia	Arhinia choanal atresia microphthalmia	"Arrhinia-choanal atresia-microphthalmia syndrome, Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome"	Orphanet_610				
Aromatase deficiency	Aromatase deficiency	Aromatase deficiency	Orphanet_2114				
Aromatase excess syndrome							
Aromatic L-amino acid decarboxylase deficiency	Aromatic L-amino acid decarboxylase deficiency	Aromatic L-amino acid decarboxylase deficiency	Orphanet_41751				
Arrhinia							
Arrhythmogenic right ventricular cardiomyopathy	Arrhythmogenic right ventricular cardiomyopathy	Arrhythmogenic right ventricular cardiomyopathy	Orphanet_217266				
Arterial calcification of infancy	Arterial calcification of infancy	Generalized arterial calcification of infancy	Orphanet_79095				
Arterial tortuosity syndrome	Arterial tortuosity syndrome	Arterial tortuosity syndrome	Orphanet_30391				
Arthrochalasia Ehlers-Danlos syndrome							
Arthrogryposis and ectodermal dysplasia							
Arthrogryposis epileptic seizures migrational brain disorder							
Arthrogryposis multiplex congenita	Arthrogryposis multiplex congenita	Arthrogryposis syndrome	Orphanet_65284				
Arthrogryposis multiplex congenita neurogenic type	Arthrogryposis multiplex congenita neurogenic type	Neurogenic arthrogryposis multiplex congenita	Orphanet_79241				
Arthrogryposis multiplex congenita whistling face							
"Arthrogryposis multiplex congenita, distal, X-linked"	"Arthrogryposis multiplex congenita, distal, X-linked"	Infantile-onset X-linked spinal muscular atrophy	Orphanet_179				
Arthrogryposis renal dysfunction cholestasis syndrome	Arthrogryposis renal dysfunction cholestasis syndrome	Arthrogryposis-renal dysfunction-cholestasis syndrome	Orphanet_90340				
Arthrogryposis-like hand anomaly and sensorineural deafness							
"Arthrogryposis, ectodermal dysplasia, cleft lip/palate, and developmental delay"							
Arts syndrome	Arts syndrome	Lethal ataxia with deafness and optic atrophy	Orphanet_125				
Asbestosis	Asbestosis	asbestosis	Orphanet_97297				
Ascher Syndrome							
Asherman's syndrome							
Aspartylglycosaminuria							
Aspergillosis	Aspergillosis	aspergillosis	Orphanet_1263				
Aspergillus niger infection							
Asternia							
Astroblastoma							
Ataxia - hypogonadism - choroidal dystrophy							
Ataxia telangiectasia	Ataxia telangiectasia	Ataxia-telangiectasia	Orphanet_127				
Ataxia with oculomotor apraxia type 1							
Ataxia with Oculomotor Apraxia Type 2							
Ataxia with oculomotor apraxia type 4							
Ataxia with vitamin E deficiency	Ataxia with vitamin E deficiency	Ataxia with vitamin E deficiency	Orphanet_1270				
Atelosteogenesis type 1	Atelosteogenesis type 1	Atelosteogenesis type I	"Orphanet_157788, Orphanet_1299"				
Atelosteogenesis type 2	Atelosteogenesis type 2	Atelosteogenesis type II	Orphanet_93388				
Atelosteogenesis type 3	Atelosteogenesis type 3	Atelosteogenesis type III	Orphanet_93396				
Athabaskan brainstem dysgenesis	Athabaskan brainstem dysgenesis	Athabaskan brainstem dysgenesis syndrome	Orphanet_1276				
Atkin syndrome							
Atransferrinemia	Atransferrinemia	Congenital atransferrinemia	Orphanet_93304				
Atresia of small intestine							
"Atrial myxoma, familial"	"Atrial myxoma, familial"	Familial atrial myxoma	Orphanet_75374				
Atrial septal defect coronary sinus							
Atrial septal defect ostium primum							
Atrial septal defect sinus venosus							
Atrophic lichen planus							
Atrophoderma of Pierini and Pasini							
Atrophoderma vermiculata							
Atypical Gaucher disease due to saposin C deficiency - See Gaucher disease							
Atypical Rett syndrome	Atypical Rett syndrome	Atypical Rett syndrome	Orphanet_1297				
Atypical Werner syndrome							
Auditory neuropathy spectrum disorder							
Auralcephalosyndactyly							
Auriculo-condylar syndrome							
Auriculoosteodysplasia							
Ausems Wittebol-Post Hennekam syndrome							
Autism with port-wine stain							
Autoimmune gastrointestinal dysmotility							
Autoimmune hepatitis							
Autoimmune lymphoproliferative syndrome	Autoimmune lymphoproliferative syndrome	Autoimmune lymphoproliferative syndrome	Orphanet_52429				
Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency							
Autoimmune polyglandular syndrome type 1							
Autoimmune polyglandular syndrome type 2							
Autoimmune polyglandular syndrome type 3							
Autoimmune progesterone dermatitis							
Autoimmune pulmonary alveolar proteinosis							
Autosomal dominant Alport syndrome							
Autosomal dominant centronuclear myopathy							
"Autosomal dominant cerebellar ataxia, deafness, and narcolepsy"							
Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons							
Autosomal dominant deafness-onychodystrophy syndrome							
Autosomal dominant distal renal tubular acidosis							
Autosomal dominant hyper IgE syndrome							
Autosomal dominant intermediate Charcot-Marie-Tooth disease type A - See Autosomal dominant intermediate Charcot-Marie-Tooth							
Autosomal dominant intermediate Charcot-Marie-Tooth disease type B - See Autosomal dominant intermediate Charcot-Marie-Tooth							
Autosomal dominant intermediate Charcot-Marie-Tooth disease type C - See Autosomal dominant intermediate Charcot-Marie-Tooth							
Autosomal dominant intermediate Charcot-Marie-Tooth disease type D - See Autosomal dominant intermediate Charcot-Marie-Tooth							
Autosomal dominant intermediate Charcot-Marie-Tooth disease type E - See Autosomal dominant intermediate Charcot-Marie-Tooth							
Autosomal dominant intermediate Charcot-Marie-Tooth disease type F - See Autosomal dominant intermediate Charcot-Marie-Tooth							
Autosomal dominant leukodystrophy with autonomic disease							
Autosomal dominant multiple pterygium syndrome - See Distal arthrogryposis							
Autosomal dominant neuronal ceroid lipofuscinosis 4B							
Autosomal dominant nocturnal frontal lobe epilepsy	Autosomal dominant nocturnal frontal lobe epilepsy	Autosomal dominant sleep-related hypermotor epilepsy	Orphanet_90354				
Autosomal dominant non-syndromic intellectual disability							
Autosomal dominant optic atrophy and cataract							
Autosomal dominant optic atrophy plus syndrome	Autosomal dominant optic atrophy plus syndrome	Autosomal dominant optic atrophy plus syndrome	Orphanet_53347				
Autosomal dominant palmoplantar keratoderma and congenital alopecia							
Autosomal dominant partial epilepsy with auditory features							
Autosomal dominant polycystic kidney disease 							
Autosomal dominant polycystic kidney disease - Not a rare disease	Autosomal dominant polycystic kidney disease†	Autosomal dominant polycystic kidney disease	Orphanet_70589				
Autosomal dominant pseudohypoaldosteronism type 1							
"Autosomal dominant spinal muscular atrophy, lower extremity-predominant 1"							
Autosomal dominant spondyloepiphyseal dysplasia tarda							
Autosomal dominant tubulointerstitial kidney disease							
Autosomal dominant tubulointerstitial kidney disease due to MUC1 mutations							
Autosomal dominant tubulointerstitial kidney disease due to REN mutations							
Autosomal dominant tubulointerstitial kidney disease due to UMOD mutations							
Autosomal dominant type B hypercholesterolemia - Not a rare disease							
Autosomal dominant vitreoretinochoroidopathy							
Autosomal recessive Alport syndrome							
Autosomal recessive axonal neuropathy with neuromyotonia	Autosomal recessive axonal neuropathy with neuromyotonia	Autosomal recessive axonal neuropathy with neuromyotonia	Orphanet_2771				
Autosomal recessive bestrophinopathy							
Autosomal recessive candidiasis familial chronic mucocutaneous							
Autosomal recessive centronuclear myopathy	Autosomal recessive centronuclear myopathy	Autosomal recessive centronuclear myopathy	Orphanet_2771				
Autosomal recessive Charcot-Marie-Tooth disease with hoarseness							
Autosomal recessive distal osteolysis syndrome							
Autosomal recessive early-onset inflammatory bowel disease							
Autosomal recessive hyper IgE syndrome							
Autosomal recessive intermediate Charcot-Marie-Tooth disease type A - See Autosomal recessive intermediate Charcot-Marie-Tooth disease							
Autosomal recessive intermediate Charcot-Marie-Tooth disease type B - See Autosomal recessive intermediate Charcot-Marie-Tooth disease							
Autosomal recessive juvenile Parkinson disease							
Autosomal recessive neuronal ceroid lipofuscinosis 4A - See Adult neuronal ceroid lipofuscinosis							
Autosomal recessive palmoplantar keratoderma and congenital alopecia							
Autosomal recessive polycystic kidney disease	Autosomal recessive polycystic kidney disease	Autosomal recessive polycystic kidney disease	Orphanet_130				
Autosomal recessive primary microcephaly							
Autosomal recessive protein C deficiency							
Autosomal recessive pseudohypoaldosteronism type 1							
Autosomal recessive spastic ataxia 4							
Autosomal recessive spastic paraplegia type 49							
Autosomal recessive spinocerebellar ataxia 9							
Axenfeld-Rieger syndrome							
Axial mesodermal dysplasia spectrum							
Axial osteomalacia							
Axial spondylometaphyseal dysplasia	Axial spondylometaphyseal dysplasia	Axial spondylometaphyseal dysplasia	Orphanet_130				
Ayazi syndrome							
B cell prolymphocytic leukemia	B cell prolymphocytic leukemia	B-Cell Prolymphocytic Leukemia	Orphanet_130				
B-cell lymphoma	B-cell lymphoma	neoplasm of mature B-cells	EFO_1000966				
B4GALT1-CDG (CDG-IId)							
Babesiosis							
Baby rattle pelvic dysplasia							
Baetz-Greenwalt syndrome							
Bagatelle Cassidy syndrome							
Balantidiasis							
Baller-Gerold syndrome	Baller-Gerold syndrome	Baller-Gerold syndrome	EFO_0000309				
Bamforth syndrome	Bamforth syndrome	Bamforth-Lazarus syndrome	Orphanet_1306				
Bangstad syndrome							
Banki syndrome							
Bannayan-Riley-Ruvalcaba syndrome	Bannayan-Riley-Ruvalcaba syndrome	Bannayan-Riley-Ruvalcaba syndrome	Orphanet_1308				
Bantu siderosis							
BAP1 tumor predisposition syndrome							
